GameID,Genre
Metal Slug: Super Vehicle - 001 | SAT,Action
Mobile Light Force | SAT,Action
Mortal Kombat II | SAT,Action
Mortal Kombat Trilogy | SAT,Action
Mr. Bones | SAT,Action
NBA Jam Tournament Edition | SAT,Action
Nekketsu Oyako | SAT,Action
NHL 97 | SAT,Action
NiGHTS into Dreams... | SAT,Action
Night Striker | SAT,Action
Night Warriors: Darkstalkers' Revenge | SAT,Action
Norse by Norse West: The Return of the Lost Vikings | SAT,Action
Off-World Interceptor | SAT,Action
Pandemonium! | SAT,Action
Panzer Dragoon | SAT,Action
Panzer Dragoon II: Zwei | SAT,Action
Parodius | SAT,Action
Pastel Muse | SAT,Action
Pocket Fighter | SAT,Action
Powerslave | SAT,Action
Primal Rage | SAT,Action
Princess Crown | SAT,Action
Pro Pinball: The Web | SAT,Action
The Psychotron | SAT,Action
Pu?Li?Ru?La | SAT,Action
Purikura Daisakusen | SAT,Action
Quake | SAT,Action
Quantum Gate | SAT,Action
Quarantine | SAT,Action
Rabbit | SAT,Action
Radiant Silvergun | SAT,Action
Ragnagard | SAT,Action
Rampage World Tour | SAT,Action
Rayman | SAT,Action
RayStorm | SAT,Action
Real Bout Fatal Fury | SAT,Action
Real Bout Fatal Fury Best Collection | SAT,Action
Real Bout Fatal Fury Special | SAT,Action
Resident Evil | SAT,Action
Revolution X | SAT,Action
Rise 2: Resurrection | SAT,Action
Road Rash | SAT,Action
Robo Pit | SAT,Action
Robotica | SAT,Action
Rohga: Armor Force | SAT,Action
Sagaia | SAT,Action
Salamander: Deluxe Pack Plus | SAT,Action
Samurai Shodown III: Blades of Blood | SAT,Action
Samurai Shodown IV: Amakusa's Revenge | SAT,Action
Saturn Bomberman | SAT,Action
Saturn Bomberman Fight!! | SAT,Action
Scud: The Disposable Assassin | SAT,Action
Segata Sanshir? Shinkenyugi | SAT,Action
Seifuku Densetsu: Pretty Fighter X | SAT,Action
Sexy Parodius | SAT,Action
Shellshock | SAT,Action
Shienryu | SAT,Action
Shining Wisdom | SAT,Action
Shinobi Legions | SAT,Action
Shinrei Jusatsushi Tar?maru | SAT,Action
Shinsetsu Samurai Spirits: Bushid?retsuden | SAT,Action
Shockwave Assault | SAT,Action
Silhouette Mirage | SAT,Action
Skeleton Warriors | SAT,Action
Sky Target | SAT,Action
S?ky?gurentai | SAT,Action
Solar Eclipse | SAT,Action
Sol Divide | SAT,Action
Sonic 3D Blast | SAT,Action
Sonic Jam | SAT,Action
Sonic Wings Special | SAT,Action
Soviet Strike | SAT,Action
Space Harrier | SAT,Action
Space Hulk: Vengeance of the Blood Angels | SAT,Action
Space Invaders | SAT,Action
Spot Goes to Hollywood | SAT,Action
Star Fighter 3000 | SAT,Action
SteamGear Mash | SAT,Action
Steam-Heart's | SAT,Action
Street Fighter Alpha 2 | SAT,Action
Street Fighter Alpha 3 | SAT,Action
Street Fighter Alpha: Warriors' Dreams | SAT,Action
Street Fighter Collection 2 | SAT,Action
Street Fighter: The Movie | SAT,Action
Strikers 1945 | SAT,Action
Suiko Enbu Fuunsaiki | SAT,Action
Super Adventure Rockman | SAT,Action
Super Tempo | SAT,Action
Tama: Adventurous Ball in Giddy Labyrinth | SAT,Action
Tempest 2000 | SAT,Action
Tengai | SAT,Action
Tetris Plus | SAT,Action
Tetris S | SAT,Action
Three Dirty Dwarves | SAT,Action
Three Wonders | SAT,Action
Thunder Force: Gold Pack 1 | SAT,Action
Thunder Force: Gold Pack 2 | SAT,Action
Thunder Force V: Perfect System | SAT,Action
Thunder Storm & Road Blaster | SAT,Action
Thunderstrike 2 | SAT,Action
