,0,1,2,3
聚类标签,0,1,2,3
counts,313,154,349,73
percentage,0.3521,0.1732,0.3926,0.0821
日均UV,1390.013,2717.419,933.015,1904.371
平均注册率,0.003,0.005,0.003,0.003
平均搜索量,0.152,0.051,0.064,0.106
访问深度,1.168,0.947,5.916,0.943
平均停留时间,187.146,103.103,285.219,157.336
订单转化率,0.017,0.007,0.006,0.009
投放总时间,8.199,8.529,8.77,8.217
素材类型,swf,jpg,jpg,swf
广告类型,不确定,banner,横幅,tips
合作方式,roi,cpc,cpc,cpm
广告尺寸,600*90,308*388,600*90,450*300
广告卖点,打折,满减,直降,打折
